,descricao
124," Diante do aumento de infecções e mortes, a Prefeitura de São Paulo pode decretar o lockdown na próxima quarta-feira, dia 27/05. É o famoso tranca-rua. Ouça abaixo, entenda e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
125,"Os números de novas infecções por coronavírus não param de subir no Brasil - e São Paulo segue na dianteira. Por isso, especialistas recomendam o lockdown, o famoso fecha tudo, ninguém sai. Mas ficar em casa sem grana não dá. Então, se liga que a segunda parcela do auxílio emergencial começou a ser liberada. Ouça abaixo, entenda e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
126,"Nesta quarta, dia 20/05, começa o mega feriado decretado pela Prefeitura de São Paulo. Mas nada de festa, viagem, rolezinho: a medida desesperada busca conter o avanço do coronavírus na cidade. Será que vai dar certo? Ouça abaixo, entenda e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
127,"Precisamos falar de CLOROQUINA. Pois é, o medicamento é defendido pelo presidente Bolsonaro para tratar a covid-19, mas cientistas do mundo inteiro apontam os perigos disso. Enquanto isso, por onde andam os respiradores?  Ouça abaixo, entenda e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
128,"O governo federal tá dizendo aí que o auxílio emergencial pode continuar mesmo após o fim da pandemia. Dá pra acreditar? Enquanto milhões de trabalhadores e trabalhadoras ainda aguardam a análise no sistema da Caixa, o pagamento da segunda parcela do benefício está atrasado há mais de 15 dias.  Ouça abaixo, entenda e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
129,"Já mediu a luz esse mês? Pois é, com o distanciamento social, a Enel (que é responsável pela distribuição de energia em São Paulo) tirou seus funcionários as ruas e a medição do relógio de luz precisa ser feito pelos próprios moradores. Ouça abaixo, entenda como funciona e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
130,"Tá difícil ficar em casa, né minha filha? Pois é, tem muita gente que não tá cumprindo o distanciamento social (e quanto mais nós ficarmos na rua, mais vai demorar pras coisas voltarem ao que era antes).  Se depender do prefeito Bruno Covas, fica todo mundo confinado: começou a valer hoje um rígido rodízio de veículos. E o governador João Doria estendeu a quarentena até 31 de maio. Mas a gente precisa lembrar que, sem dinheiro, complica: o governo federal ainda não anunciou quando deve pagar a segunda parcela do auxílio emergencial. Ouça abaixo, entenda e compartilhe!  Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
131,"Mais de 12 milhões de pessoas vão ter que refazer o cadastro pra solicitar o auxílio emergencial de R$ 600 - e isso só tá acontecendo quase um mês depois do sistema ser lançado. Haja paciência, né não? Ouça abaixo, entenda por que isso tá acontecendo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
132,"Lembra que, há alguns dias, a gente falou que a quarentena poderia ser relaxada a partir de 11 de maio em São Paulo? Pois é, não vai rolar! Isso porque os índices de distanciamento social caíram pra menos de 50% na última semana - isto é, tem mais gente na rua que em casa. E para evitar a transmissão de coronavírus, o ideal é que 7 a cada 10 pessoas fiquem dentro de casa. A gente sabe que é difícil, mas isso reflete no sistema de saúde - na Grande São Paulo, quase 90% das UTIs já estão ocupadas. Por isso, a Prefeitura da capital está aplicando medidas com mais restrições ainda. Ouça abaixo, entenda por que isso tá acontecendo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Yago Rodrigues. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
133,"Com que máscara eu vou? Neste episódio, a gente fala da obrigatoriedade de usar máscara no transporte público de São Paulo a partir de segunda-feira (04/05). E também das máscaras contaminadas que estariam chegando da Argentina e da China (adiantando aqui: isso é mentira). Mas, atenção: só deve sair de casa quem estiver fazendo uma atividade essencial. É ruim ficar no isolamento, mas é pior ainda ficar preso num respirador de UTI. Ouça abaixo, entenda por que isso tá acontecendo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito (que também editou esse áudio) e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
134,"Ou seria Pandemia COM Neurose? Porque, com a enrolação pra pagar o auxílio emergencial, o governo federal tá dando dor de cabeça na gente. Como é que tá por aí? Diante da novela do pagamento dos R$ 600, a gente detalha mais um pouco a situação.  Ouça abaixo, entenda por que isso tá acontecendo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius de Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
135," Mais um fim de semana chega e por aqui continuamos em análise. E por aí?  Muita gente que solicitou o auxílio emergencial de R$ 600 ainda não recebeu: mesmo entre quem teve o pedido aprovado, várias pessoas não conseguem acessar o aplicativo Caixa Tem para transferir o dinheiro pra conta. Um efeito disso é mais gente na rua em busca do pão de cada dia. Ouça abaixo, entenda por que isso tá acontecendo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius de Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
136,"Como ficar em casa se o agressor está embaixo do mesmo teto? O papo de hoje é sobre violência contra mulheres. Além da delegacia eletrônica, também é possível buscar ajuda na defensoria pública, em redes de apoio locais e pelo Ligue 180! Saiba também: como recorrer em caso de auxílio emergencial negado. Ouça abaixo, entenda o que isso significa e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius de Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
137,"A liberdade vai cantar: o Governo do Estado de São Paulo anunciou que a quarentena começa a ser flexibilizada a partir de 11 de maio. Mas tudo vai depender do controle do contágio do coronavírus. Portanto: continue em casa!  Ouça abaixo, entenda o que isso significa e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius de Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
138,"As aulas na rede municipal de ensino de São Paulo já voltaram, enquanto na rede estadual devem começar semana que vem. Tudo à distância. Mas e a merenda? Dá pra ser à distância?  A realidade é que, com mais crianças e adolescentes em casa, as famílias têm um aumento considerável com alimentação - já que muitas delas faziam a principal refeição do dia na hora do recreio. Tanto a Prefeitura quanto Governo do Estado distribuíram vales-merenda, mas eles não chegam pra todo mundo.  Ouça abaixo, entenda o que isso significa e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius de Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
139,"Como fica a situação pra quem trabalha com carteira assinada em meio à pandemia de coronavírus? O governo federal aprovou medida que permite aos empregadores diminuírem a carga horária e o salário de funcionários em até 70% ou suspender o contrato de trabalho. Ouça abaixo, entenda o que isso significa e compartilhe!    Essa é uma co-produção da jornalista Gisele Brito (que também editou esse áudio) e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus "
140,"O papo hoje é ao pé do ouvido, mas é reto. Isso porque saíram novos dados sobre as mortes por coronavírus na cidade de São Paulo. E adivinha: distritos nas periferias lideram em número de vítimas. Brasilândia, Sapopemba, Itaquera, Grajaú, Jaraguá... O vírus que foi trazido de avião já circula entre nós - e não é fake news. Ouça abaixo e compartilhe!    Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.   "
141," Já recebeu o auxílio emergencial? Já saiu da análise no sistema? Os depósitos para quase 10 milhões de pessoas só começa nesta quinta (16/04). Cadê a emergência? Entenda o calendário de pagamentos.  Ouça abaixo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
142,"Como é que tá a quarentena ae? O governador Doria quer que 70% da população fique dentro de casa para evitar um colapso do SUS no estado de São Paulo - e prometeu colocar a polícia na cola de quem descumprir. Neste feriado de Páscoa, 59% das pessoas ficaram em seus lares.  Ouça abaixo e compartilhe.  Essa é uma co-produção da jornalista Gisele Brito (que também editou esse áudio) e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus "
143,"Deus mandou Noé construir a arca e se abrigar, não ficar na chuva. Então, por que não ficamos em casa? Hoje, queremos falar diretamente aos cristãos que não podem celebrar a Páscoa com a comunidade devido à pandemia. O momento é de orar em casa.  Ouça  a seguir e compartilhe!  Essa é uma co-produção da jornalista Gisele Brito (que também editou esse áudio) e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.   "
144,"A solicitação do auxílio emergencial já começou, mas nem todo mundo que precisa receber os R$ 600 tem acesso à internet ou sinal de celular pra fazer o cadastro. E aí, como faz?  Ouça a seguir e compartilhe!  Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius da Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
145,"Você já solicitou o auxílio emergencial de R$ 600? Desde terça-feira (07/04), já dá pra fazer o cadastro no site ou no aplicativo do governo pra pedir o benefício. Mas tem muito golpe rolando aí nos grupos e redes sociais. Então, a gente explica passo a passo como fazer o pedido.  Ouça abaixo e compartilhe!   Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. A edição de áudio é do Vinicius da Araújo. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
146,"A quarentena no Estado de São Paulo vai durar PELO MENOS até dia 22 de abril. E o governador Dória vai botar a Polícia Militar na cola de quem não cumprir a medida. Então, bora ficar esperto, nada de sair sem necessidade.  E se for sair, use máscara (pode ser aquela de pano, feita em casa). Ouça abaixo enquanto a grana da Renda Básica Emergencial não é liberada...  Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus.  "
147,"O governo deve começar a pagar a Renda Básica Emergencial na próxima semana. Enquanto isso, pesquisadores das periferias de São Paulo apontam outras medidas emergenciais para conter o impacto da Pandemia na vida do povo.  Ouça abaixo e entenda! Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
148,"A novela da Renda Básica Emergencial para trabalhadores autônomos, informais e desempregados: ainda não saiu ! O governo federal não publicou a medida no Diário Oficial. Paga Logo, Bolsonaro!   Enquanto isso, o Senado aprovou a inclusão de outras categorias como taxistas e motoristas de aplicativo. Novas profissões, como catadores e pescadores, podem ser acrescentadas no projeto. Mas, por enquanto, é só projeto mesmo...  Ouça abaixo e entenda. Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
149,"Você tá na expectativa de receber os R$ 600 da Renda Básica Emergencial? A gente aqui também tá, mas até agora o Presidente Bolsonaro não assinou a medida. E o pagamento deve começar no DIA 16 DE ABRIL!!! Isso tá gerando uma treta entre políticos de Brasília.  Ouça abaixo e compartilhe! Essa é uma co-produção da jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi especialmente criado para tratar de informações apuradas e do interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus. "
150,"Você se aceita como realmente é? Todo jovem negro tem um processo muito duro para se aceitar por milhares de motivos e complexos, nesse episódio conversamos com alguns participantes do coletivo Black on Black que trabalha em cima do processo de aceitação e valorização de jovens negros. Nos envie um e-mail contando sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com . Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta "
151,"O mercado criativo ou publicitário movimenta milhões de reais todos os anos, tornando-se um dos mais disputados no país. O assunto é tema deste episódio do podcast, que tem apresentação do Yago Rodrigues e do  Vinicius de Araújo, e participação da ilustradora Vanessa Ferreira e a designer Dora Lia. Nos envie um e-mail contando sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com . Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta  "
152,"Acredito que você já tenha ouvido falar sobre educação financeira! Mas você sabe o quanto ela é importante e essencial para nosso dia a dia? Neste episódio entrevistamos a youtuber Nath Finanças, que manja muito do assunto, e também tivemos a participação da Elaine Toledo, diretora financeira no Alma Preta. Nos envie um e-mail contando sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com . Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta "
153,"Você tem cuidado da sua saúde mental? Neste episódio falamos sobre os impactos do racismo na saúde mental da população negra. Os psicólogos negros Nelson Gentil e Samilly Valadares conversam com Yago Rodrigues e Gabriela Delgado, ambos do Alma Preta, sobre a alta taxa de suicídio entre jovens negros, depressão e como superar os estigmas do racismo. Nos envie um e-mail contando sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com . Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta "
154,"Tenho certeza que você já reparou as estátuas, monumentos e ruas que levam os mais diversos nomes, mas você sabe quem foram essas pessoas homenageadas e o quanto isso é importante? Nesse episódio conversamos com Hélio Menezes, que é antropólogo e curador de arte, e Érika Hilton, ativista do movimento Lgbtq+, e o jornalista Guilherme Soares Dias sobre a importância dessa reformulação histórica. Nos envie um e-mail contando sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com . Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta "
155,"No segundo episódio do podcast Papo Preto, uma discussão sobre quais são os obstáculos para a autonomia financeira da população negra --e, mais importante, como vencê-los. Os apresentadores Gabi Delgado e Yago Rodrigues conversam com Amanda Dias, consultora financeira e criadora do programa de emancipação financeira da população negra Grana Preta, e Paulo Bessoni, assessor de investimentos. Nos envie um e-mail contando sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com. Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta  "
156,"As mulheres negras vivenciam diversas experiências de opressão que se somam aos estigmas quando se tornam mãe solo. Neste episódio o apresentador Yago Rodrigues  (@yago.rodrigues02) e a jornalista (@natalysimoes) batem um papo sobre o tema com as convidadas Ana Muza (@muza.empreender) e Tainá de Paula (@tainadepaularj). Nos envie um e-mail sobre sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com. Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta  "
157,"O Papo Preto, podcast do Alma Preta, está de volta e de cara nova! No primeiro episódio, o apresentador Yago Rodrigues (@yago.rodrigues02), a publicitária Gabriela Delgado  (@g.britrrs) e os jornalistas Nataly Simões (@natalysimoes) e Guilherme Soares Dias (@guianegro) falam sobre as novidades que estão por vir. Nos envie um e-mail sobre sua experiência com esse episódio, perguntas, dúvidas e sugestões para o papopreto@almapreta.com Acompanhe o Alma Preta nas redes sociais: Site: https://almapreta.com Instagram: https://www.instagram.com/almapretajornalismo Twitter: https://twitter.com/Alma_Preta Facebook: https://www.facebook.com/almapretajornalismo Conheça a campanha de financiamento do Alma Preta no Catarse e fortaleça a mídia negra e independente: https://www.catarse.me/financie_alma_preta "
158,"Nesta edição histórica do nosso podcast, também nos aproximamos de outro fato memorável, porém lamentável: o Brasil se aproxima da triste marca de 100 mil mortos por covid-19. Enquanto isso, no final de semana donos de bares esperam faturar alto com a final do Campeonato Paulista. Toca a vida, disse o Presidente da República. ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado para tratar especialmente informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
159,"Cada 100 brasileiros contaminados por coronavírus vão infectar, em média, outras 108. Na cidade de SP, a maioria dos casos ocorre em bairros das periferias. E a vacina, vem?  ? ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
160,"Volta às aulas em meio à pandemia: matemático faz projeções de 17 mil mortes de crianças ? ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
161,"Perdemos o medo do coronavírus? A quarentena afrouxou em boa parte do Estado de São Paulo. Mas o melhor ainda é ficar em casa. E é possível se divertir e vivenciar as artes com as dicas de programação virtual que a gente destaca no áudio de hoje. ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
162,"A Prefeitura de São Paulo abrir 70 parques a partir de segunda-feira, enquanto pesquisa da própria administração mostra que 1,2 milhão de paulistanos tiveram contato com o coronavírus. A maioria das áreas mais vulneráveis à pandemia está nas periferias.  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
163,"O número de pessoas contaminadas e que morrem em decorrência da covid-19 segue acelerado. Enquanto isso ocorre, governantes incentivam a reabertura da economia: salões de beleza podem reabrir na cidade de São Paulo. E a gente lista aqui quais cuidados você deve prestar atenção para esse contato. ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
164,"Você também já se perdeu entre tantas notícias sobre a pandemia? Por aqui, sim. Neste episódio, a gente organiza e resume as informações mais importantes dos últimos dias pra você também se atualizar.  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
165,"Quem tem convênio médico tá ligado que o atendimento não é dos melhores, mesmo pagando muito caro por isso? Pois saiba que, desde segunda (29), os planos de saúde são obrigados a oferecer o teste para covid-19 para quem tem plano ambulatorial ou hospitalar e chegar no pronto socorro com sintomas de síndrome gripal ou síndrome respiratória grave.  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
